Variable Angle Spectroscopic Ellipsometric (VASE) Data
Wavelength (nm)	Psi (65.00, 70.00, 75.00°)	Delta (65.00, 70.00, 75.00°)									Model	
315.922760	59.349373	168.722733	58.695129	168.115982	42.598160	85.535782	42.183426	86.730667	34.908974	76.018120	34.754688	77.332466	
317.514130	55.760857	136.782455	55.281929	136.831482	39.445324	85.085953	39.525787	86.717873	31.727934	83.115486	32.047527	85.326508	
319.105530	50.433041	116.971947	50.025185	117.931870	37.205173	87.762642	37.299438	89.566673	28.780039	94.880020	28.880318	95.986748	
320.696838	45.822491	107.052223	45.553089	108.128662	34.959770	93.363449	35.240101	94.778893	25.107407	109.000053	25.284117	110.136391	
322.288269	42.144268	102.263367	42.170887	103.993309	33.202236	100.060493	33.204182	102.137390	21.063686	129.279938	21.601551	129.210709	
323.879700	39.539536	102.355392	39.601849	103.686577	30.975393	110.191147	31.141792	111.613846	18.371824	154.939056	18.713146	154.768036	
325.471130	37.168579	105.065666	37.559093	106.181938	28.975351	122.470886	29.095234	123.292992	18.019585	185.851639	17.880541	185.360947	
327.062531	35.788536	109.529182	35.843739	110.860832	27.140162	136.420898	27.209219	137.262009	19.676199	214.649506	19.546490	214.199417	
328.653900	34.355560	116.097382	34.340076	117.335464	25.797226	152.556580	25.724483	153.408340	23.255816	235.836197	22.739004	236.433075	
330.245361	32.758629	124.204147	32.996799	125.350243	24.780277	170.323349	24.915512	171.141632	26.516117	252.199203	26.315886	252.497299	
331.836761	31.730024	134.449066	31.811407	134.709564	25.225245	188.800949	24.962912	189.279556	29.772287	263.446167	29.691069	264.115784	
333.428253	30.610970	145.243622	30.816792	145.221695	26.193850	205.628189	25.844204	206.417496	32.779106	-88.191231	32.710621	-87.508011	
335.019684	29.766323	157.337112	30.067341	156.646805	27.690060	220.183945	27.356228	221.521973	35.655949	-82.242790	35.439075	-81.730476	
336.611145	29.501589	169.483780	29.620901	168.668594	29.513157	233.429459	29.243450	234.167908	38.314610	-78.939484	38.053291	-78.280098	
338.202637	29.435137	181.419968	29.519686	180.891418	31.358402	243.034607	31.308281	244.340637	40.881832	-77.801010	40.819309	-77.155960	
339.794067	30.044569	193.137848	29.775686	192.879318	33.770630	251.042511	33.451981	252.165649	44.009827	-79.437767	44.129738	-78.596130	
341.385559	30.640011	204.597916	30.368282	204.219833	35.674713	256.445496	35.672863	257.740479	48.325123	-83.464211	48.593723	-83.116730	
342.976990	31.732002	215.592957	31.254372	214.568466	37.899200	260.153198	38.054943	261.048584	54.972595	267.625092	55.164696	268.187836	
344.568481	32.974892	224.071945	32.386330	223.669922	40.668083	260.679077	40.768997	261.912476	64.966797	251.770538	65.084915	251.702057	
